2026-04-25 22:09:33 | 127.0.0.1 | index.html | 200
2026-04-25 22:09:40 | 127.0.0.1 | test.png | 200
2026-04-25 22:09:47 | 127.0.0.1 | test.txt | 200
2026-04-25 22:09:54 | 127.0.0.1 | asdf | 400
2026-04-25 22:10:01 | 127.0.0.1 | /../../webserver.py | 403
2026-04-25 22:10:09 | 127.0.0.1 | notexist.html | 404
2026-04-25 22:10:20 | 127.0.0.1 | index.html | 200
2026-04-25 22:10:53 | 127.0.0.1 | index.html | 304
2026-04-25 22:11:31 | 127.0.0.1 | index.html | 200
2026-04-25 22:11:40 | 127.0.0.1 | index.html | 304
2026-04-25 22:11:54 | 127.0.0.1 | index.html | 200
2026-04-25 22:12:01 | 127.0.0.1 | index.html | 200
2026-04-25 22:13:16 | 127.0.0.1 | index.html | 200
2026-04-25 22:13:16 | 127.0.0.1 | index.html | 200
2026-04-25 22:13:16 | 127.0.0.1 | index.html | 200
2026-04-25 22:13:16 | 127.0.0.1 | index.html | 200
2026-04-25 22:13:16 | 127.0.0.1 | index.html | 200
2026-04-25 22:16:04 | 127.0.0.1 | index.html | 200
2026-04-25 22:16:04 | 127.0.0.1 | index.html | 200
2026-04-25 22:16:04 | 127.0.0.1 | index.html | 200
2026-04-25 22:16:04 | 127.0.0.1 | index.html | 200
2026-04-25 22:16:04 | 127.0.0.1 | index.html | 200
2026-04-25 22:19:00 | 127.0.0.1 | index.html | 304
2026-04-25 22:43:52 | 127.0.0.1 | index.html | 200
2026-04-26 12:15:30 | 127.0.0.1 | index.html | 304
